asin,date,forecast,lower_10,upper_90,sales_quantity,product_line
B00000001,2026-01-03,56.095829010009766,52.55293846130371,99.59470062255892,83,led_strip
B00000001,2026-01-04,54.12755584716797,46.84493904113769,90.73746643066437,69,led_strip
B00000001,2026-01-05,60.03237724304199,47.0417667388916,115.73455047607446,53,led_strip
B00000001,2026-01-06,55.111690521240234,50.97831687927246,97.42960052490264,74,led_strip
B00000001,2026-01-07,56.095829010009766,45.07349319458008,102.54711456298864,48,led_strip
B00000001,2026-01-08,56.095829010009766,46.84493904113769,97.82324523925814,46,led_strip
B00000001,2026-01-09,61.01651573181152,54.5212085723877,129.11882019043,69,led_strip
B00000001,2026-01-10,62.98479080200195,49.206871032714844,103.53124542236358,55,led_strip
B00000001,2026-01-11,61.01651382446289,49.01004333496094,106.6804855346683,75,led_strip
B00000001,2026-01-12,59.048240661621094,50.19100685119629,122.22985687255886,64,led_strip
B00000001,2026-01-13,68.88961410522461,42.3179069519043,150.96666564941435,68,led_strip
B00000001,2026-01-14,63.96892738342285,46.648111724853514,130.49660797119168,45,led_strip
B00000001,2026-01-15,66.92134094238281,54.91486358642578,130.89026336669954,71,led_strip
B00000001,2026-01-16,74.79443359375,60.81968650817871,117.7028182983402,54,led_strip
B00000001,2026-01-17,63.96892738342285,49.01004333496094,140.1411575317386,65,led_strip
B00000001,2026-01-18,62.98479080200195,50.584661865234374,133.25219268798864,80,led_strip
B00000001,2026-01-19,62.00065231323242,44.876665878295896,131.28391876220732,47,led_strip
B00000001,2026-01-20,62.00065231323242,48.61638832092285,137.38556671142612,64,led_strip
B00000001,2026-01-21,68.88961791992188,45.270320892333984,137.97605133056675,48,led_strip
B00000001,2026-01-22,63.96892738342285,50.97831687927246,111.40435485839882,74,led_strip
B00000001,2026-01-23,55.111690521240234,45.07349319458008,137.77922515869173,50,led_strip
B00000001,2026-01-24,66.92134094238281,52.55293846130371,134.826811218262,83,led_strip
B00000001,2026-01-25,62.00065231323242,48.025905990600585,136.20460357666053,67,led_strip
B00000001,2026-01-26,60.032379150390625,45.270320892333984,132.6617172241214,53,led_strip
B00000001,2026-01-27,59.048240661621094,38.77501182556153,129.31564483642615,49,led_strip
B00000001,2026-01-28,59.048240661621094,40.54646110534668,125.77275543212923,70,led_strip
B00000001,2026-01-29,65.93720245361328,43.30204391479492,137.7792282104496,48,led_strip
B00000001,2026-01-30,62.00065231323242,44.67983818054199,126.95371551513705,67,led_strip
B00000002,2026-01-03,60.29908752441406,51.51264953613281,76.1491310119629,71,led_strip
B00000002,2026-01-04,65.46757507324219,49.962100982666016,72.7034683227539,52,led_strip
B00000002,2026-01-05,57.714839935302734,45.99959182739258,67.70726318359375,48,led_strip
B00000002,2026-01-06,55.130592346191406,42.898494720458984,75.97684860229492,50,led_strip
B00000002,2026-01-07,53.40776062011719,42.72621154785156,71.15291976928712,48,led_strip
B00000002,2026-01-08,56.853424072265625,46.516441345214844,70.80835342407227,55,led_strip
B00000002,2026-01-09,58.576255798339844,41.34794616699219,71.32520294189455,44,led_strip
B00000002,2026-01-10,58.576255798339844,48.0669864654541,75.8045654296875,46,led_strip
B00000002,2026-01-11,62.021915435791016,47.550136947631835,77.52739715576172,63,led_strip
B00000002,2026-01-12,60.29908752441406,51.34036636352539,75.97684860229492,50,led_strip
B00000002,2026-01-13,62.02191925048828,49.6175350189209,75.8045654296875,46,led_strip
B00000002,2026-01-14,58.576255798339844,50.478950881958006,79.93935394287111,41,led_strip
B00000002,2026-01-15,62.88333320617676,46.3441577911377,73.0480339050293,42,led_strip
B00000002,2026-01-16,59.43767166137695,47.550136947631835,76.1491310119629,43,led_strip
B00000002,2026-01-17,64.60616111755371,49.789817810058594,75.2877151489258,71,led_strip
B00000002,2026-01-18,62.88333320617676,41.003379821777344,83.04045791625977,52,led_strip
B00000002,2026-01-19,57.714839935302734,49.44525146484375,79.42250442504883,50,led_strip
B00000002,2026-01-20,62.02191734313965,47.89470291137695,83.04045791625977,41,led_strip
B00000002,2026-01-21,56.853424072265625,41.34794616699219,74.5985824584961,48,led_strip
B00000002,2026-01-22,63.744747161865234,46.3441577911377,77.69967956542969,43,led_strip
B00000002,2026-01-23,62.02191734313965,51.34036636352539,75.11543197631838,45,led_strip
B00000002,2026-01-24,57.714839935302734,37.90228271484375,72.35890197753906,63,led_strip
B00000002,2026-01-25,62.88333320617676,54.958309173583984,78.04424591064456,62,led_strip
B00000002,2026-01-26,57.714839935302734,49.962100982666016,75.97684860229492,53,led_strip
B00000002,2026-01-27,50.823516845703125,38.935982131958006,74.08173370361328,47,led_strip
B00000002,2026-01-28,58.576255798339844,43.75990715026855,69.77465438842775,65,led_strip
B00000002,2026-01-29,57.714839935302734,41.34794616699219,76.32141418457032,55,led_strip
B00000002,2026-01-30,58.576255798339844,51.34036636352539,73.22031707763674,63,led_strip
B00000003,2026-01-03,82.6384506225586,67.36286849975586,100.1678237915039,81,led_strip
B00000003,2026-01-04,77.63006591796875,59.599857330322266,109.18292922973635,81,led_strip
B00000003,2026-01-05,78.88216400146484,42.070488357543944,100.41824340820312,58,led_strip
B00000003,2026-01-06,83.89055633544922,54.3410457611084,100.66866302490234,68,led_strip
B00000003,2026-01-07,85.14265441894531,60.1006965637207,105.67705535888672,65,led_strip
B00000003,2026-01-08,73.87377166748047,49.83349266052246,88.39810867309572,68,led_strip
B00000003,2026-01-09,80.13426208496094,54.59146499633789,102.92243957519531,94,led_strip
B00000003,2026-01-10,87.6468505859375,60.1006965637207,98.91573257446291,104,led_strip
B00000003,2026-01-11,77.63006591796875,49.58307304382324,105.4266357421875,94,led_strip
B00000003,2026-01-12,76.37796783447266,59.599857330322266,110.43502807617188,66,led_strip
B00000003,2026-01-13,72.62167358398438,49.58307304382324,101.1695022583008,65,led_strip
B00000003,2026-01-14,75.12586975097656,61.853633880615234,98.41489334106447,71,led_strip
B00000003,2026-01-15,76.37796783447266,45.075523376464844,110.9358665466309,85,led_strip
B00000003,2026-01-16,75.12586975097656,58.09734039306641,100.41824340820312,59,led_strip
B00000003,2026-01-17,76.37796783447266,57.34608421325684,98.16447372436524,93,led_strip
B00000003,2026-01-18,75.12586975097656,56.34440612792969,85.39307403564453,77,led_strip
B00000003,2026-01-19,72.62167358398438,58.598179244995116,115.1929931640625,73,led_strip
B00000003,2026-01-20,71.36957550048828,34.3074836730957,97.91405410766602,68,led_strip
B00000003,2026-01-21,68.86538314819336,49.83349666595459,90.90230560302736,92,led_strip
B00000003,2026-01-22,77.63006591796875,50.08391189575195,100.66866302490234,71,led_strip
B00000003,2026-01-23,70.11747741699219,55.09230422973633,105.17621612548828,89,led_strip
B00000003,2026-01-24,81.38635635375977,62.60489273071289,105.67705535888672,75,led_strip
B00000003,2026-01-25,65.10909080505371,47.32929992675781,108.43167037963869,67,led_strip
B00000003,2026-01-26,80.13425827026367,39.816715240478516,105.92747497558595,62,led_strip
B00000003,2026-01-27,71.36957550048828,61.853633880615234,91.15272445678713,73,led_strip
B00000003,2026-01-28,75.12586975097656,52.588111877441406,98.66531295776369,69,led_strip
B00000003,2026-01-29,75.12586975097656,54.3410457611084,97.66362762451175,73,led_strip
B00000003,2026-01-30,70.11747741699219,54.3410457611084,103.17285919189453,71,led_strip
B00000007,2026-01-03,71.53946685791016,57.04080696105957,99.20140075683594,63,led_strip
B00000007,2026-01-04,70.58560943603516,50.9361068725586,93.66901245117188,68,led_strip
B00000007,2026-01-05,69.63175201416016,58.9485221862793,81.26883850097659,65,led_strip
B00000007,2026-01-06,67.72403717041016,45.21294746398926,84.89350357055666,67,led_strip
B00000007,2026-01-07,66.77017593383789,43.49600067138672,83.17656021118165,60,led_strip
B00000007,2026-01-08,63.90859603881836,49.02838478088379,80.50575027465821,73,led_strip
B00000007,2026-01-09,64.86245727539062,41.77905044555664,82.60424423217775,71,led_strip
B00000007,2026-01-10,65.81631851196289,49.409928512573245,87.94585266113282,56,led_strip
B00000007,2026-01-11,69.63175201416016,46.9298942565918,96.53058776855471,65,led_strip
B00000007,2026-01-12,71.53946685791016,36.246665954589844,82.41347274780274,61,led_strip
B00000007,2026-01-13,70.58561325073242,57.04080696105957,90.04434051513672,64,led_strip
B00000007,2026-01-14,68.67789459228516,49.409928512573245,86.22890930175782,54,led_strip
B00000007,2026-01-15,62.00087547302246,43.87754440307617,87.75508117675781,64,led_strip
B00000007,2026-01-16,67.72403717041016,50.9361068725586,90.23511581420902,63,led_strip
B00000007,2026-01-17,58.1854362487793,35.29280643463135,82.79501571655274,52,led_strip
B00000007,2026-01-18,65.81631851196289,28.42501926422119,76.69031295776368,70,led_strip
B00000007,2026-01-19,66.77017974853516,47.69298133850098,78.97957229614259,47,led_strip
B00000007,2026-01-20,66.77017593383789,35.48357849121094,84.70273208618165,57,led_strip
B00000007,2026-01-21,61.047014236450195,47.1206657409668,76.30876922607422,51,led_strip
B00000007,2026-01-22,60.09315490722656,41.588278198242186,75.7364570617676,55,led_strip
B00000007,2026-01-23,61.04701614379883,45.594491195678714,79.7426597595215,70,led_strip
B00000007,2026-01-24,64.86245727539062,45.594491195678714,80.88729400634767,75,led_strip
B00000007,2026-01-25,57.231576919555664,41.20673446655274,82.22270050048829,62,led_strip
B00000007,2026-01-26,61.04701614379883,49.409928512573245,72.49332427978516,64,led_strip
B00000007,2026-01-27,62.954734802246094,45.78526306152344,75.9272285461426,52,led_strip
B00000007,2026-01-28,56.277719497680664,41.77905044555664,78.97957229614259,44,led_strip
B00000007,2026-01-29,54.369998931884766,45.594491195678714,70.58560943603516,68,led_strip
B00000007,2026-01-30,59.1392936706543,45.594491195678714,74.40105438232422,71,led_strip
B00000009,2026-01-03,102.05847930908203,72.93779754638672,131.45132446289062,78,led_strip
