asin,date,forecast,lower_10,upper_90
B00000001,2026-01-31,58.29734992980957,46.63787841796875,64.51573181152344
B00000001,2026-02-01,56.35410690307617,50.52436828613281,74.03763198852539
B00000001,2026-02-02,59.268972396850586,46.054905319213866,79.67304229736328
B00000001,2026-02-03,59.26897048950195,44.500312423706056,72.48303604125978
B00000001,2026-02-04,52.46761703491211,47.609504318237306,72.87168502807619
B00000001,2026-02-05,59.26897048950195,40.613822555541994,80.2560157775879
B00000001,2026-02-06,60.24059295654297,46.63787841796875,68.4022216796875
B00000001,2026-02-07,60.24059295654297,51.6903190612793,76.17520141601562
B00000001,2026-02-08,64.12708282470703,45.66625633239746,80.45034027099611
B00000001,2026-02-09,53.43923759460449,40.22517356872559,77.34114761352541
B00000001,2026-02-10,60.24059295654297,48.19247817993164,74.03763198852539
B00000001,2026-02-11,61.212215423583984,42.75138854980469,72.28871154785156
B00000001,2026-02-12,55.38248252868652,46.249229431152344,64.71005630493165
B00000001,2026-02-13,61.212215423583984,52.27329216003418,81.81061172485352
B00000001,2026-02-14,64.12708282470703,50.135719299316406,76.17520141601562
B00000001,2026-02-15,62.183837890625,49.7470703125,75.98087692260742
B00000001,2026-02-16,59.26897048950195,48.58112716674805,85.69710159301758
B00000001,2026-02-17,60.24059295654297,48.38680229187012,72.09438705444336
B00000001,2026-02-18,58.29734802246094,46.63787841796875,78.11844635009766
B00000001,2026-02-19,66.07032775878906,48.58112716674805,79.67304229736328
B00000001,2026-02-20,55.38248252868652,43.528690338134766,87.64034652709961
B00000001,2026-02-21,61.212215423583984,52.46761703491211,82.19926071166994
B00000001,2026-02-22,62.183837890625,50.52436828613281,74.03763198852539
B00000001,2026-02-23,64.12708282470703,50.52436828613281,75.98087692260742
B00000001,2026-02-24,67.04195022583008,48.38680229187012,72.09438705444336
B00000001,2026-02-25,61.212215423583984,46.249229431152344,77.92412185668945
B00000001,2026-02-26,61.212215423583984,42.55706443786621,79.86736679077148
B00000001,2026-02-27,57.325727462768555,50.330044174194335,70.34546661376953
B00000002,2026-01-31,53.56869316101074,47.61661911010742,61.22136688232422
B00000002,2026-02-01,52.7183952331543,47.61661911010742,59.690834045410156
B00000002,2026-02-02,51.01780319213867,40.64418411254883,57.990238571167
B00000002,2026-02-03,56.11958312988281,42.344779586791994,60.03095245361329
B00000002,2026-02-04,51.868099212646484,47.44655990600586,66.32315063476562
B00000002,2026-02-05,52.7183952331543,44.215431213378906,73.29557800292969
B00000002,2026-02-06,55.269287109375,48.97709274291992,66.66326904296875
B00000002,2026-02-07,57.8201789855957,45.40584869384766,69.72433471679688
B00000002,2026-02-08,57.8201789855957,43.875312423706056,63.092018127441406
B00000002,2026-02-09,52.71839714050293,43.875312423706056,69.89439392089844
B00000002,2026-02-10,51.01780319213867,42.344779586791994,64.96267013549806
B00000002,2026-02-11,52.71839714050293,42.51483917236328,65.13272933959962
B00000002,2026-02-12,62.07166290283203,47.61661911010742,75.16622924804688
B00000002,2026-02-13,56.96988105773926,49.147151947021484,73.29557800292969
